id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
96161,WAE,194,Advanced Writing Academic Eng,,LEC,94,3,MW,10:30 AM,11:50 AM,Lindsay Dennison
96176,WAE,194,Advanced Writing Academic Eng,,LEC,95,3,MW,9:00 AM,10:20 AM,TBA
96019,WRT,101,Introductory Writing Workshop,,LEC,90,3,MW,10:30 AM,11:50 AM,Timothy Fletcher
96020,WRT,101,Introductory Writing Workshop,,LEC,91,3,TUTH,9:00 AM,10:20 AM,Andrew Lasher
96021,WRT,101,Introductory Writing Workshop,,LEC,92,3,TUTH,10:30 AM,11:50 AM,Andrew Lasher
96077,WRT,101,Introductory Writing Workshop,,LEC,93,3,TUTH,2:00 PM,3:20 PM,Andrew Lasher
96179,WRT,101,Introductory Writing Workshop,,LEC,94,3,TUTH,2:00 PM,3:20 PM,TBA
96114,WRT,101,Introductory Writing Workshop,,LEC,95,3,TUTH,3:30 PM,4:50 PM,TBA
96015,WRT,102,Intermediate Writing Workshop,WRT,LEC,90,3,TUTH,9:00 AM,10:20 AM,Timothy Fletcher
96016,WRT,102,Intermediate Writing Workshop,WRT,LEC,91,3,TUTH,10:30 AM,11:50 AM,Andrew Schenck
96017,WRT,102,Intermediate Writing Workshop,WRT,LEC,92,3,TUTH,10:30 AM,11:50 AM,Timothy Fletcher
96101,WRT,102,Intermediate Writing Workshop,WRT,LEC,93,3,TUTH,2:00 PM,3:20 PM,Andrew Schenck
96146,WRT,102,Intermediate Writing Workshop,WRT,LEC,94,3,TUTH,2:00 PM,3:20 PM,Timothy Fletcher
96152,WST,247,Sociology of Gender,"DIV, SBS",OAE,90,3,F,3:00 PM,5:50 PM,Juhyun Woo
