id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
56197,MEC,599,Research,,TUT,T96,1 to 12,APPT,1:00 AM,1:00 AM,JONGSEONG CHOI
56016,MEC,691,Mechanical Engineering Seminar,,SEM,S90,0,HTBA,1:00 AM,1:00 AM,Changwoon Han
56198,MEC,698,Practicum in Teaching II,,TUT,T90,1 to 3,APPT,1:00 AM,1:00 AM,Hamid Hefazi
55973,MEC,699,Dissertation Resrch on Campus,,TUT,T90,1 to 9,APPT,1:00 AM,1:00 AM,Hamid Hefazi
55974,MEC,699,Dissertation Resrch on Campus,,TUT,T91,1 to 9,APPT,1:00 AM,1:00 AM,Eugene Pak
55975,MEC,699,Dissertation Resrch on Campus,,TUT,T92,1 to 9,APPT,1:00 AM,1:00 AM,Gun Woong Bahng
55976,MEC,699,Dissertation Resrch on Campus,,TUT,T93,1 to 9,APPT,1:00 AM,1:00 AM,Bruce Jo
56014,MEC,699,Dissertation Resrch on Campus,,TUT,T94,1 to 9,APPT,1:00 AM,1:00 AM,Changwoon Han
56015,MEC,699,Dissertation Resrch on Campus,,TUT,T95,1 to 9,APPT,1:00 AM,1:00 AM,Min Yang Yang
56199,MEC,699,Dissertation Resrch on Campus,,TUT,T96,1 to 9,APPT,1:00 AM,1:00 AM,JONGSEONG CHOI
56042,ATM,102,Weather and Climate,SNW,LEC,90,3,F,12:30 PM,3:20 PM,Hoonyoung Park
55945,BIO,201,Organisms to Ecosystems,SNW,LEC,90,3,TUTH,9:00 AM,10:20 AM,TBA
56182,CAR,210,Career Planning,,SEM,S90,1,W,11:00 AM,11:55 AM,Sunghyun Lee
56022,CHI,111,Elementary Chinese I,,LEC,90,4,TUTH,10:30 AM,11:50 AM,Mengyang Jia
56021,CHI,111,Elementary Chinese I,,REC,R90,,RETH,9:30 AM,10:23 AM,Mengyang Jia
56046,CHI,111,Elementary Chinese I,,LEC,91,4,TUTH,3:30 PM,4:50 PM,Mengyang Jia
56047,CHI,111,Elementary Chinese I,,REC,R91,,RETU,5:00 PM,5:53 PM,Mengyang Jia
56048,CHI,112,Elementary Chinese II,LANG,LEC,90,4,MW,9:00 AM,10:20 AM,Mengyang Jia
56049,CHI,112,Elementary Chinese II,LANG,REC,R90,,RECM,10:30 AM,11:23 AM,Mengyang Jia
55836,ECO,108,Introduction to Economics,SBS,LEC,90,4,TUTH,2:00 PM,3:20 PM,Joung Hwa Choi
55837,ECO,108,Introduction to Economics,SBS,REC,R90,,RETH,3:30 PM,4:23 PM,Joung Hwa Choi
56142,ECO,475,Undergrad Teachng Practicum I,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,Joung Hwa Choi
55952,ESG,198,Fundmntls of Engineering Chem,,LEC,90,3,TUTH,10:30 AM,11:50 AM,Woong Moo Lee
56191,FLM,102,Introduction/Film Composition,HUM,LEC,90,3,TU,9:30 AM,12:20 PM,Sun Park
56123,HIS,104,United States Since 1877,"SBS, USA",LEC,90,3,TUTH,3:30 PM,4:23 PM,Donald Bellomy
56122,HIS,104,United States Since 1877,"SBS, USA",REC,R90,,RETH,12:30 PM,1:23 PM,Donald Bellomy
56124,HIS,238,"Sci, Tech, Med in West Civ II",STAS,LEC,90,3,MW,9:00 AM,10:20 AM,Donald Bellomy
56079,KOR,111,Elementary Korean I,,LEC,90,4,MW,2:00 PM,3:20 PM,Hea Hur
56078,KOR,111,Elementary Korean I,,REC,R90,,RECM,3:30 PM,4:23 PM,Hea Hur
56018,KOR,112,Elementary Korean II,LANG,LEC,90,4,MW,5:00 PM,6:20 PM,Hea Hur
56017,KOR,112,Elementary Korean II,LANG,REC,R90,,RECW,4:00 PM,4:53 PM,Hea Hur
56023,KOR,220,Intermediate Heritage Korean,"GLO, HUM, LANG",LEC,90,3,M,9:00 AM,11:50 AM,Koksuk Seo
56073,MAP,103,Proficiency Algebra,,LEC,90,3,MW,10:30 AM,11:50 AM,Sang Hee Park
56025,MAT,122,Overview of Calculus with Appl,QPS,LEC,90,3,TUTH,12:30 PM,1:50 PM,Jaeyeong Lee
56024,MAT,122,Overview of Calculus with Appl,QPS,REC,R90,,RECF,12:30 PM,1:23 PM,Jaeyeong Lee
55946,MAT,123,Precalculus,QPS,LEC,90,3,MW,5:00 PM,6:20 PM,TBD
55947,MAT,123,Precalculus,QPS,REC,R90,,RECF,12:30 PM,1:23 PM,TBD
56074,MUS,105,Music Cultures of the World,ARTS,LEC,90,3,TU,9:30 AM,12:20 PM,Soojin Kim
56200,OAE,581,Oral Acad. English (Int.),,LEC,90,3,F,9:00 AM,11:50 AM,TBA
56201,OAE,585,Oral Acad. English (Advanced),,LEC,90,3,F,9:00 AM,11:50 AM,Hyun-ju Kim
55938,PHY,131,Classical Physics I,SNW,LEC,90,3,TUTH,10:30 AM,11:50 AM,Baye Diouf
55937,PHY,131,Classical Physics I,SNW,REC,R90,,RECW,9:30 AM,10:23 AM,Baye Diouf
55939,PHY,132,Classical Physics II,SNW,LEC,90,3,TUTH,9:00 AM,10:20 AM,Baye Diouf
55940,PHY,132,Classical Physics II,SNW,REC,R90,,RECF,12:30 PM,1:23 PM,Baye Diouf
55941,PHY,133,Classical Physics Laboratory I,,LAB,L90,1,F,10:00 AM,11:50 AM,TBA
55942,PHY,133,Classical Physics Laboratory I,,LAB,L91,1,F,12:30 PM,2:20 PM,TBA
55943,PHY,134,Classical Physics Lab II,,LAB,L90,1,F,2:30 PM,4:20 PM,TBA
55996,POL,101,World Politics,"GLO, SBS",LEC,90,3,W,9:00 AM,11:50 AM,Won Geun Choi
55948,POL,102,Intro to American Government,"SBS, USA",LEC,90,3,F,9:00 AM,11:50 AM,Jung-Min Hong
56118,SOC,247,Sociology of Gender,"DIV, SBS",LEC,90,3,F,3:00 PM,5:50 PM,Juhyun Woo
